Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
81,CH 16,469.950000,,0.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
83,Retail Stores,140.000000,off,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
84,Abercr Ft 1,469.487500,,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
85,Abercr Ft 2,467.850000,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
86,Abercr Ft 3,467.850000,,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
87,Ace Hardware,464.550000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
88,Aeropostale,467.875000,,0.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
89,Aldi,467.875000,,0.000000,DTCS,88.5,88.5,612,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
90,Amer Eag G,467.762500,,0.000000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
91,Amer Eag H,467.812500,,0.000000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
92,Ann Taylor,464.562500,,0.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
93,Ann Taylor L,466.037500,,0.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
94,Auntie Annes,461.112500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
