Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
13,Banana Rep Z,467.850000,,0.000000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
14,Barnes & Nob,468.412500,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
15,Bass Pro A,464.500000,,0.000000,DTCS,88.5,88.5,466,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
16,Bass Pro B,469.600000,,0.000000,DTCS,88.5,88.5,606,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
17,Bass Pro C,468.937500,,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
18,Bass Pro D,469.887500,,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
19,Bass Pro E,451.587500,,0.000000,DTCS,88.5,88.5,073,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
20,B & Body X,461.062500,,0.000000,DTCS,88.5,88.5,632,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
21,B & Body Y,461.037500,,0.000000,DTCS,88.5,88.5,734,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
22,B & Body Z,467.900000,,0.000000,DTCS,88.5,88.5,632,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
23,Bed Bath X,467.850000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
24,Bed Bath Y,467.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
25,Bed Bath Z,467.925000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
26,Best Buy A,467.925000,,0.000000,DTCS,88.5,88.5,506,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
27,Best Buy B,467.900000,,0.000000,DTCS,88.5,88.5,743,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
28,Big Lots 1,461.237500,,0.000000,DTCS,88.5,88.5,346,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
29,Big Lots 2,467.875000,,0.000000,DTCS,88.5,88.5,265,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
30,Burlington,467.850000,,0.000000,DTCS,88.5,88.5,351,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
31,Char Russe X,154.527500,,0.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
32,Char Russe Y,467.850000,,0.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
33,Char Russe Z,461.037500,,0.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
34,Chico's,468.262500,,0.000000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
35,Child Place,467.850000,,0.000000,DTCS,88.5,88.5,712,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
36,Chuck Cheese,467.925000,,0.000000,DTCS,88.5,88.5,031,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
37,Coach 1,462.937500,,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
38,Coach 2,464.987500,,0.000000,DTCS,88.5,88.5,464,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
39,Costco,154.600000,,0.000000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
40,Cr & Barr X,467.925000,,0.000000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
41,Cr & Barr Y,467.875000,,0.000000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
42,Cr & Barr Z,467.762500,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
43,Dave & B's 1,467.825000,,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
44,Dave & B's 2,467.900000,,0.000000,DTCS,88.5,88.5,043,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
45,Dick's Sp 1,467.875000,,0.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
46,Dick's Sp 2,467.875000,,0.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
47,Disney Store,467.875000,,0.000000,DTCS,88.5,88.5,712,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
48,DSW,464.500000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
49,Express 1,467.900000,,0.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
50,Express 2,467.875000,,0.000000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
